id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYSm2o88,tehran,peugeot20605,1394,seashell,210000,colored,healthy,intact,intact,8,manual,240000000
wYw5Zp8v,tehran,peugeot20605,1397,white,98000,intact,healthy,intact,intact,6,manual,315000000
wYSG1awd,tehran,peugeot20605,1392,white,160000,minor_scratch,healthy,intact,intact,5,manual,250000000
wYSG1gQJ,tehran,peugeot20605,1393,white,160000,minor_scratch,healthy,intact,intact,10,manual,253000000
wYSKkmGg,tehran,peugeot20605,1396,white,120000,collision_rep,healthy,,,7,manual,295000000
wYQyaBeF,tehran,peugeot20605,1392,black,184000,minor_scratch,healthy,intact,intact,6,manual,241000000
wYSCTxXd,tehran,peugeot20605,1383,silver,360000,round_colored,healthy,intact,intact,8,manual,175000000
wYS-RaNU,tehran,peugeot20605,1393,white,184000,colored,healthy,impact,intact,7,manual,203000000
wYSqhHq4,tehran,peugeot20605,1394,white,270000,colored,healthy,intact,intact,4,manual,228000000
wYSCBAbf,tehran,peugeot20605,1396,white,130000,intact,healthy,intact,intact,3,manual,293000000
wYSChpx0,tehran,peugeot20605,1393,white,150000,colored,healthy,intact,intact,9,manual,235000000
wYSuw1bL,tehran,peugeot20605,1397,red,46000,minor_scratch,healthy,intact,intact,6,manual,346000000
wYRm_K55,tehran,peugeot20605,1398,seashell,19000,minor_scratch,healthy,intact,intact,9,manual,354000000
wYSaAS08,tehran,peugeot20605,1396,white,150000,intact,healthy,intact,intact,9,manual,295000000
wYSWAjD6,tehran,peugeot20605,1397,ashgray,78000,intact,healthy,intact,intact,1,manual,335000000
wYSCQZmQ,tehran,peugeot20605,1396,white,104000,colored,healthy,intact,intact,6,manual,282000000
wYNi_TiJ,tehran,peugeot20605,1397,white,85000,intact,healthy,intact,intact,6,manual,321000000
wYReuoOL,tehran,peugeot20605,1393,ashgray,150000,minor_scratch,healthy,intact,intact,9,manual,228000000
wYR2PpET,tehran,peugeot20605,1399,white,38000,minor_scratch,healthy,intact,intact,7,manual,365000000
wYRyvpYX,tehran,peugeot20605,1395,black,120000,intact,healthy,intact,intact,7,manual,290000000
wYRm_D8i,tehran,peugeot20605,1394,white,85000,intact,healthy,intact,intact,11,manual,298000000
wYRW_Mj3,tehran,peugeot20605,1397,white,97000,collision_rep,healthy,intact,intact,12,manual,310000000
wYROPViE,tehran,peugeot20605,1398,white,80,intact,healthy,,,12,manual,351500000
wYRK_Qyj,tehran,peugeot20605,1387,dolphin,310000,colored,healthy,intact,intact,1,manual,185000000
wYRyOW9A,tehran,peugeot20605,1393,black,200000,colored,healthy,intact,intact,11,manual,229000000
wYRi-eEY,tehran,peugeot20605,1384,silver,290000,colored,healthy,intact,intact,12,manual,153000000
wYRm-VKF,tehran,peugeot20605,1396,white,132000,colored,healthy,intact,intact,8,manual,269000000
wYRO-9en,tehran,peugeot20605,1395,white,120000,minor_scratch,healthy,intact,intact,4,manual,285000000
wYOaPIAB,tehran,peugeot20605,1388,silver,435000,round_colored,healthy,intact,colored,7,manual,188000000
wYRGe202,tehran,peugeot20605,1394,black,174000,intact,healthy,intact,intact,8,manual,248500000
wYRydIiW,tehran,peugeot20605,1384,dolphin,72000,minor_scratch,healthy,intact,intact,11,manual,280000000
wYRqd4Pl,tehran,peugeot20605,1395,dimgray,220000,minor_scratch,healthy,intact,intact,3,manual,270000000
wYM-iRBL,tehran,peugeot20605,1396,white,58000,colored,healthy,intact,intact,1,manual,300000000
wYRW9buL,tehran,peugeot20605,1385,ashgray,270000,round_colored,healthy,,,5,,179000000
wYRGN1e0,tehran,peugeot20605,1395,white,126000,minor_scratch,healthy,intact,intact,,manual,298000000
wYTWCNo-,mashhad,peugeot20602,1388,white,230000,minor_scratch,healthy,intact,intact,12,manual,185000000
wYRG6FGl,mashhad,peugeot20602,1399,white,40000,intact,healthy,intact,intact,5,manual,325000000
wYTGyNV1,mashhad,peugeot20602,1382,black,443000,minor_scratch,healthy,intact,intact,9,manual,110000000
wYTyRwEh,mashhad,peugeot20602,1388,white,238000,intact,healthy,intact,intact,3,manual,189000000
wYTyRJeQ,mashhad,peugeot20602,1395,white,120000,colored,healthy,intact,intact,11,manual,205000000
wYTChEIL,mashhad,peugeot20602,1391,white,220000,colored,healthy,intact,intact,9,manual,206000000
wYTyBRDB,mashhad,peugeot20602,1401,white,0,intact,healthy,intact,intact,12,manual,370000000
wYTmhtkV,mashhad,peugeot20602,1388,ashgray,250000,minor_scratch,healthy,intact,intact,6,manual,165000000
wYTaxMLU,mashhad,peugeot20602,1382,coaly,400000,whole_colored,healthy,intact,intact,5,manual,115000000
wYTGxnAV,mashhad,peugeot20602,1384,beige,241000,colored,healthy,intact,intact,2,manual,148000000
wYT-AlBR,mashhad,peugeot20602,1388,white,250000,colored,healthy,,intact,3,manual,160000000
wYTGBqSC,mashhad,peugeot20602,1383,silver,400000,round_colored,healthy,,,3,manual,115000000
wYTCRxt-,mashhad,peugeot20602,1389,white,230000,colored,healthy,intact,intact,10,manual,178000000
wYLiw8IL,mashhad,peugeot20602,1396,white,70000,accident,healthy,intact,intact,12,manual,163000000
wYTyAH4g,mashhad,peugeot20602,1400,white,8000,minor_scratch,,intact,intact,,,340000000
wYTuQ1PV,mashhad,peugeot20602,1398,white,32000,intact,healthy,intact,intact,8,manual,315000000
wYTeQt1j,mashhad,peugeot20602,1390,white,172000,colored,healthy,impact,intact,7,manual,195000000
wYTagBxq,mashhad,peugeot20602,1381,white,300000,colored,healthy,intact,intact,11,manual,135000000
wYOGeoNc,mashhad,peugeot20602,1399,silver,51000,minor_scratch,healthy,intact,intact,7,manual,308000000
wY4F4HSU,mashhad,peugeot20602,1400,white,11000,intact,healthy,,,8,manual,350000000
wYS-_QRM,mashhad,peugeot20602,1384,silver,360000,round_colored,healthy,intact,intact,3,manual,135000000
wYTGQRPT,mashhad,peugeot20602,1401,white,3000,intact,healthy,intact,intact,10,manual,373000000
wYS-_VHQ,mashhad,peugeot20602,1398,black,93000,intact,healthy,intact,intact,3,manual,280000000
wYS2PLtK,mashhad,peugeot20602,1381,white,170000,intact,healthy,intact,intact,12,manual,165000000
wYSi_fwx,mashhad,peugeot20602,1384,silver,350000,colored,healthy,intact,intact,3,manual,133000000
wYSafqEf,mashhad,peugeot20602,1387,white,385000,minor_scratch,healthy,intact,intact,4,manual,180000000
wYSSP3hV,mashhad,peugeot20602,1389,white,300000,minor_scratch,healthy,intact,intact,7,manual,190000000
wYO-edFT,mashhad,peugeot20602,1388,copper,273000,minor_scratch,healthy,intact,intact,6,manual,165000000
wYHGEyvk,mashhad,peugeot20602,1397,white,90000,intact,healthy,intact,intact,10,manual,255000000
wYSCPwZD,mashhad,peugeot20602,1400,white,15000,intact,healthy,intact,intact,4,manual,349000000
wY6ZQ1_S,mashhad,peugeot20602,1397,white,85000,minor_scratch,healthy,,,10,manual,268000000
wYQGDehd,mashhad,peugeot20602,1380,black,300000,intact,healthy,intact,intact,6,manual,95000000
wYSyOdcb,mashhad,peugeot20602,1383,silver,290000,minor_scratch,healthy,intact,intact,2,manual,150000000
