id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYyKNyG8,tehran,peugeot20605,1393,white,150000,minor_scratch,healthy,intact,intact,12,manual,331000000
wYy6c7r2,tehran,peugeot20605,1393,white,165000,round_colored,healthy,intact,impact,7,manual,300000000
wYyC9Kub,tehran,peugeot20605,1395,white,80000,colored,healthy,intact,intact,2,manual,345000000
wYyy6j9j,tehran,peugeot20605,1393,white,117000,minor_scratch,healthy,intact,intact,1,manual,335000000
wYy28ZGk,tehran,peugeot20605,1394,white,145000,colored,healthy,intact,intact,4,manual,320000000
wYyycTLQ,tehran,peugeot20605,1397,black,73000,minor_scratch,healthy,intact,intact,1,manual,390000000
wYymMdCG,tehran,peugeot20605,1397,white,50000,intact,healthy,intact,intact,6,manual,400000000
wYde5jSt,tehran,peugeot20605,1398,white,50000,intact,healthy,intact,intact,12,manual,429000000
wYyiMS2P,tehran,peugeot20605,1399,white,27000,intact,healthy,intact,intact,2,manual,470000000
wYyacLrp,tehran,peugeot20605,1398,white,77000,intact,healthy,intact,intact,10,manual,425000000
wYyGs0pD,tehran,peugeot20605,1384,silver,400000,colored,healthy,intact,intact,4,manual,195000000
wYxurOSI,tehran,peugeot20605,1399,white,30000,intact,healthy,intact,intact,6,manual,462000000
wYym7v7d,tehran,peugeot20605,1397,white,48500,intact,healthy,intact,intact,1,manual,435000000
wYyy75LA,tehran,peugeot20605,1383,silver,200000,colored,healthy,intact,intact,n/a,manual,220000000
wYyubSxK,tehran,peugeot20605,1382,black,50000,whole_colored,healthy,impact,intact,11,n/a,143000000
wYyyrwYF,tehran,peugeot20605,1393,white,200000,minor_scratch,healthy,intact,intact,7,manual,315000000
wYyyLhCa,tehran,peugeot20605,1399,white,48000,intact,healthy,intact,intact,6,manual,480000000
wYyqb4n1,tehran,peugeot20605,1387,white,135000,collision_rep,healthy,intact,intact,12,manual,350000000
wYyabwm2,tehran,peugeot20605,1398,white,46000,intact,healthy,intact,intact,11,manual,448000000
wYym7XnU,tehran,peugeot20605,1396,white,55000,intact,healthy,intact,intact,5,manual,410000000
wYwmxY9R,tehran,peugeot20605,1397,white,93000,intact,healthy,intact,intact,4,manual,398000000
wYtOJvJl,tehran,peugeot20605,1399,white,39000,intact,healthy,intact,intact,9,manual,455000000
wYyKqmOM,tehran,peugeot20605,1396,white,130000,intact,healthy,intact,intact,7,manual,370000000
wYyKrwhL,tehran,peugeot20605,1390,white,147000,colored,healthy,intact,intact,2,manual,270000000
wYwGxXoo,tehran,peugeot20605,1395,ashgray,130000,colored,healthy,intact,intact,7,manual,325000000
wYyK710d,tehran,peugeot20605,1397,white,93000,intact,n/a,intact,intact,n/a,n/a,410000000
wYwyCAs4,tehran,peugeot20605,1393,white,131000,intact,healthy,intact,intact,n/a,manual,279000000
wYyCrnRt,tehran,peugeot20605,1396,white,49000,intact,healthy,intact,intact,12,manual,395000000
wYy-qbpF,tehran,peugeot20605,1397,white,19000,intact,healthy,intact,intact,3,manual,454000000
wYy-6d9r,tehran,peugeot20605,1397,white,180000,collision_rep,healthy,intact,intact,9,n/a,372000000
wYwmWfqo,tehran,peugeot20605,1399,white,23500,intact,healthy,intact,intact,11,manual,460000000
wYxG2iKW,tehran,peugeot20605,1396,white,100000,intact,healthy,intact,intact,4,manual,370000000
wYyyq5H0,tehran,peugeot20605,1383,silver,399000,round_colored,healthy,intact,intact,6,n/a,227000000
wYym6TBI,tehran,peugeot20605,1393,black,184000,intact,healthy,intact,intact,n/a,manual,290000000
